Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
,,Flat Barbell Chest Press,60,8.7.7,,Deadlift,85,3.0.0,,Lunges,15,12.16.10,,Overhead Barbell Press,35,7.5.5,,Overhead Barbell French Press,0,8.8.8,,Twisted Bicep Curl,15,10.10.10
,,Flat Barbell Chest Press,65,10.10.8,,Deadlift,80,10.10.10,,Lunges,15,16.16.16,,Overhead Barbell Press,35,7.6.6,,Overhead Barbell French Press,10,10.8.8,,Twisted Bicep Curl,15,15.15.8
