Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
1.14.21,,Squat,90,8.8.8,,Romanian Deadlift,110,10.10.10,,One Legged Calf Raises,0,14.10.10
1.27.21,,Squat,95,8.8.8,,Romanian Deadlift,115,10.10.10,,One Legged Calf Raises,0,14.12.10
2.4.21,,Squat,100,8.8.8,,Romanian Deadlift,120,10.10.10,,One Legged Calf Raises,0,14.12.10
2.17.21,,Squat,105,8.8.8,,Romanian Deadlift,120,8.8.8,,One Legged Calf Raises,0,8.8.0
3.15.21,,Squat,110,8.8.8,,,,,,Calf Raises,0,30.30.25
3.29.21,,Squat,115,8.8.8,,Romanian Deadlift,120,10.10.10,,Calf Raises,0,30.30.30
4.11.21,,Squat,120,8.8.8,,Romanian Deadlift,125,10.10.10,,Calf Raises,0,35.35.30
4.21.21,,Squat,120,8.8.8,,Romanian Deadlift,125,10.10.10,,Calf Raises,0,35.30.25
