Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
,,Incline Barbell Chest Press,45,10.10.10,,Barbell Back Squat,50,8.8.0,,Pull-Up,0,0.0.0,,Dumbbell Lateral Raise,5,15.15.0,,Dumbbell Skull Crushers,5,15.10.10,,Twisted Bicep Curls,15,15.15.10
,,Incline Barbell Chest Press,50,10.10.8,,Barbell Back Squat,50,8.8.10,,Pull-Up,0,3.2.2,,Dumbbell Lateral Raise,5,15.15.15,,Dumbbell Skull Crushers,5,15.15.10,,Twisted Bicep Curls,15,15.15.15
