Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
,,Barbell Back Squat,55,8.8.8,,Calf Raises,7.5,16.16.16.16,,Barbell Overhead Press,35,8.8.8,,Dumbbell Lateral Raise,5,16.16.16,,Reverse Dumbbell Fly,5,10.10.10
,,Barbell Back Squat,60,8.8.8,,Calf Raises,10,16.16.16.16,,Barbell Overhead Press,40,8.8.8,,Dumbbell Lateral Raise,5,16.16.16,,Reverse Dumbbell Fly,5,12.12.12
