Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
9.14.20,,Barbell Back Squat,65,8.8.10,,Romanian Deadlift,70,8.8.10,,Lunges,15,16.16.16,,Calf Raises,12.5,16.16.16.16
9.20.20,,Barbell Back Squat,70,8.8.8,,Romanian Deadlift,75,10.10.10,,Lunges,15,16.16.16,,One-Legged Calf Raises,0,12.10.8
9.29.20,,Barbell Back Squat,75,8.8.6,,Romanian Deadlift,80,10.10.10,,Lunges,15,16.16.16,,One-Legged Calf Raises,0,13.11.9
10.5.20,,Barbell Back Squat,75,8.8.8,,Romanian Deadlift,85,10.10.10,,Lunges,15,16.16.16,,One-Legged Calf Raises,0,14.12.10
10.13.20,,Barbell Back Squat,80,8.8.8,,Romanian Deadlift,90,10.10.10,,Lunges,15,16.16.16,,One-Legged Calf Raises,0,15.13.11
10.22.20,,Barbell Back Squat,85,8.8.8,,Romanian Deadlift,95,10.10.10,,Lunges,15,16.16.16,,One-Legged Calf Raises,0,16.14.12
10.29.20,,Barbell Back Squat,90,8.8.8,,Romanian Deadlift,100,10.10.10,,Lunges,15,16.16.16,,One-Legged Calf Raises,0,17.15.13
11.5.20,,Barbell Back Squat,95,8.8.8,,Romanian Deadlift,105,10.10.10,,,,,,One-Legged Calf Raises,0,16.16.16
