Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
11.12.20,,Chin-Ups,0,1.1.1.1.1,,Natural Grip Half Pull-Ups,0,6.4.3,,Deadlift,140,8.6.4,,Dumbbell Rows,35,10.8.8,,Concentration Curls,25,4.3.2,,Twisted Curls,15,18
11.16.20,,Chin-Ups,0,3.2.2,,Natural Grip Half Pull-Ups,0,4.4.4,,Deadlift,145,8.5.4,,Dumbbell Rows,35,8.8.8,,Concentration Curls,25,8.6.5,,Twisted Curls,15,10
11.28.20,,Chin-Ups,0,4.3.2,,Natural Grip Half Pull-Ups,0,7.6.5,,Deadlift,150,7.5.4,,,,,,Concentration Curls,30,7.4.3,,Twisted Curls,15,12
12.6.20,,Chin-Ups,0,5.4.3,,Natural Grip Half Pull-Ups,0,8.8.6,,Deadlift,155,5.5.4,,(target delts / rhoms),20,10.10.10,,Half Fat Grip,30,8.7.6,,Twisted Curls,15,15.8
12.13.20,,Chin-Ups,0,6.5.4,,Natural Grip Half Pull-Ups,0,5.5.5,,,,,,(target delts / rhoms),20,10.10.10,,Concentration Curl,25,10.9.7,,Twisted Curls,15,17.11.9
