Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
9.15.21,,Deep Squat,95,9.9.9,,Romanian Deadlift,140,9.9.9,,Calf Raises,0,40.30.20
9.21.21,,Deep Squat,100,7.7.6,,Romanian Deadlift,145,8.8.8,,Calf Raises,0,45.30.25
9.27.21,,Deep Squat,100,9.8.6,,Romanian Deadlift,145,9.9.9,,Calf Raises,0,45.35.25
10.4.21,,Deep Squat,100,9.8.7,,Romanian Deadlift,150,6.6.6,,Calf Raises,0,45.35.25
10.13.21,,Deep Squat,100,10.8.7,,Romanian Deadlift,150,7.6.6,,Calf Raises,0,45.35.25
10.23.21,,Deep Squat,100,10.9.8.,,Romanian Deadlift,150,8.7.6,,Calf Raises,0,50.40.30
10.31.21,,Deep Squat,105,9.8.7,,Romanian Deadlift,150,9.8.6,,Calf Raises,0,50.40.30
11.8.21,,Deep Squat,110,7.7.6,,Romanian Deadlift,152.5,9.8.7,,Calf Raises,0,55.40.30
11.15.21,,Deep Squat,110,9.8.7,,Romanian Deadlift,160,8.8.8,,Calf Raises,0,60.45.30
