Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
09.13.20,,Flat Barbell Chest Press,70,10.8.8,,Incline Dumbbell Chest Press,15,16.16.16,,Dumbbell Flyes,7.5,16.16.16,,Overhead Barbell French Press,15,8.4.4,,Dumbbell Skull Crushers,5,16.16.16
,,Incline Barbell Chest Press,60,8.8.11,,Flat Dumbbell Chest Press,20,12.10.12,,Dumbbell Flyes,10,16.16.16,,Overhead Barbell French Press,15,7.5.2,,Dumbbell Skull Crushers,5,16.16.16
10.4.20,,Flat Barbell Chest Press,75,9.8.7,,Incline Dumbbell Chest Press,20,16.16.16,,Dumbbell Flyes,15,8.7.7,,Overhead Barbell French Press,10,6.5.5,,Dumbbell Skull Crushers,5,16.16.16
10.12.20,,Incline Barbell Chest Press,70,8.8.7,,Pushups,0,16.14.10,,Dumbbell Flyes,15,10.10.10,,Overhead Barbell French Press,10,8.8.6,,,,
10.20.20,,Flat Barbell Chest Press,85,7.6.4,,,,,,Dumbbell Flyes,15,12.8.2,,,,,,Dumbbell Skull Crushers,7.5,12.8.8
10.25.20,,Incline Bench Chest Press,72.5,7.7.5,,Pushups,0,16.16.16,,,,,,Overhead Barbell French Press,10,10.7.6,,Dumbbell Skull Crushers,7.5,14.9.8
11.4.2.,,Flat Barbell Chest Press,85,8.8.8,,Pushups,0,20.16.12,,Dumbbell Flyes,15,12.10.10,,,,,,Dumbbell Skull Crushers,7.5,12.6.6
