Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
11.9.20,,Incline Chest Press,75,8.5.6,,Dumbbell Flyes,15,10.10.10,,Pushups,0,16.16.16,,French Curls,10,10.9.8
11.22.20,,Chest Press,80,9.9.9,,Dumbbell Flyes,15,11.11.11,,Pushups,0,16.16.16,,Skull Crushers,7.5,9.7.6
12.1.20,,Incline Chest Press,70,9.9.9,,Dumbbell Flyes,15,10.7.2,,Pushups,0,16.16.16,,French Curls,10,8.8.8
12.7.20,,Chest Press,85,8.8.8,,Lateral Raise,7.5,10.8.8,,Pushups,0,20.17.16,,Skull Crushers,7.5,9.9.7
12.12.20,,Incline Chest Press,75,8.8.8,,Dumbbell Flyes,15,12.10.8,,Pushups,0,22.20.16,,One-Handed Overhead Extension,7.5,14.12.12
