Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
9.15.20,,Overhead Barbell Press,45,8.7.6,,Lateral Dumbbell Raise,5,16.16.16,,Reverse Dumbbell Flyes,5,16.16.16,,Front Dumbbell Raise,5,16.16.16
9.22.20,,Overhead Barbell Press,45,8.8.8,,Lateral Dumbbell Raise,5,16.16.16,,Reverse Dumbbell Flyes,5,16.16.16,,Front Dumbbell Raise,5,16.16.16
10.1.20,,Overhead Barbell Press,45,9.9.9,,Lateral Dumbbell Raise,5,16.16.16,,Reverse Dumbbell Flyes,5,16.16.16,,Front Dumbbell Raise,5,16.16.16
10.7.20,,Overhead Barbell Press,50,9.9.8,,Lateral Dumbbell Raise,7.5,16.12.10,,Reverse Dumbbell Flyes,5,16.16.16,,Front Dumbbell Raise,7.5,16.16.16
10.15.20,,Overhead Barbell Press,55,6.4.3,,Lateral Dumbbell Raise,5,16.16.16,,Reverse Dumbbell Flyes,5,16.16.16,,Front Dumbbell Raise,5,16.16.16
10.19.20,,Overhead Barbell Press,55,8.5.4,,Lateral Dumbbell Raise,7.5,16.10.8,,Reverse Dumbbell Flyes,7.5,10.9.9,,Front Dumbbell Raise,7.5,16.16.16
10.17.20,,Overhead Barbell Press,55,7.5.4,,Lateral Dumbbell Raise,7.5,14.12.10,,Reverse Dumbbell Flyes,7.5,12.10.8,,Front Dumbbell Raise,7.5,16.16.16
