Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
,,Deadlift,85,8.8.10,,Natural Grip Half Pull-Up ,0,9.6.5,,Bent-Over Dumbbell Row,15,16.16.16,,Preacher Curl,15,12.4.4,,Hammer Curl,15,10.9.6
,,Deadlift,90,8.8.8,,Natural Grip Half Pull-Up ,0,2.4.6,,Bent-Over Dumbbell Row,20,10.8.8,,Preacher Curl,15,8.8.8,,Hammer Curl,15,10.10.10
