Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
9.17.20,,Deadlift,95,0,,Bent-Over Dumbbell Row,25,8.8.10,,Natural Grip Pull-Up,0,0,,Preacher Curl,15,8.8.8,,Hammer Curl,15,16.8.8,,,,
,,Pendlay Row,50,8.8.8,,Bent-Over Dumbbell Row,30,10.8.8,,Natural Grip Pull-Up,0,0,,Preacher Curl,15,10.8.8,,Hammer Curl,15,12.11.12,,,,
10.3.20,,Pendlay Row,50,8.8.8,,Bent-Over Dumbbell Row,30,10.10.10,,Natural Grip Half Pull-Ups From Standing,0,3.3.3.3,,Preacher Curl,15,12.12.16,,Hammer Curl,15,16.14.10,,,,
10.8.20,,Pendlay Row,50,8.8.8,,Bent-Over Dumbbell Row,30,10.10.10,,Natural Grip Half Pull-Ups From Standing,0,7.6.5,,Preacher Curl,20,6.5.4,,Hammer Curl,15,16.14.12,,,,
10.16.20,,Pendlay Row,50,8.8.8,,Bent-Over Dumbbell Row,30,10.10.10,,Natural Grip Half Pull-Ups From Standing,0,8.7.6,,Concentration Curl,20,10.8.7,,Hammer Curl,15,18.10.7,,,,
10.24.20,,Pendlay Row,0,0,,Bent-Over Dumbbell Row,0,0,,Natural Grip Pull-Up From Standing,0,5.5.3,,Concentration Curl,25,6,,Hammer Curl,15,20.15.10,,,,
11.2.20,,Pendlay Row,55,8.8.8,,Bent-Over Dumbbell Row,35,8.8.8,,Close-Grip Pull-Up,0,1.1,,Preacher Curl,20,3.2.1,,Twisted Curls,15,10,,Concentration Hammer Curl,25,7.6.5
