Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
11.8.20,,Behind Head Overhear Press,0,16.16.16,,Hanging Half Leg Raises,0,10.8.8,,Crunches,0,10.10.10,,Dumbbell Squats,15,16.16.16.16.16,,Calf Raises (off the floor),0,20.20.20,,,,
11.10.20,,Wrist Curl,,,,,0,10.10.8,,,0,16.16.12,,,15,20.20.20.20.20,,,0,20.20.20.20.20,,Half Fat Dumbbell Concentration Curls,30,7.6.5
11.15.20,,Overhead Press,50,7.6.5,,Bicycle Crunches,0,10.10.10,,Planks,0,45.30.30,,,15,25.20.20.20.20,,Calf Raises (full range),0,25.20.20.20.25,,Behind Head Overhead Press,0,16.16.16
11.19.20,,,,,,,0,10.10.10,,,0,60.45.30,,,15,25.25.20.20.20,,,0,25.25.25.25.25,,,,
12.2.20,,,,,,,,,,,,,,,15,25.25.25.20.20,,,0,25.25.25.25.25,,,,
12.9.20,,,,,,Russian Twist,8,5.10.9,,,0,60.45.30,,,15,30.25.20,,,0,40.30.25,,,,
12.10.20,,Ab Rollouts,0,10.10.10,,,8,10.10.10,,,0,45.40.40,,,,,,,,,,,,
12.14.20,,,,,,,10,10.10.10,,,0,60.45.40,,,15,30.25.20,,,0,30.25.20,,,,
12.16.20,,Fat Barbell Wrist Curls,40,16.16.16,,,,,,,,,,Fat Hammer Curls,15,16.16.12,,,,,,Half Fat Dumbbell Concentrations Curl,30,8.8.8
