Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
9.16.21,,Incline Bench Press,80,8.8.8,,Declined Pushups,0,14.7.5,,French Press,10,9.9.7,,Boat,0,80.70.70,,Plank,0,70.60.50
9.22.21,,Incline Bench Press,80,9.8.8,,Pushups,0,14.10.8,,French Press,10,10.9.7,,Boat,0,90.80.70,,Plank,0,70.60.50
9.28.21,,Incline Bench Press,80,10.9.6,,,,,,French Press,10,14.10.8,,Boat,0,95.82.70,,Plank,0,70.60.50
10.7.21,,Incline Bench Press,80,10.9.8,,Overhead Press,50,8.7.3,,Skull Crushers,10,10.9.7,,Boat,0,100.85.70,,Plank,0,70.60.45
10.14.21,,Incline Bench Press,85,9.6.5,,Overhead Press,50,8.7.6,,Skull Crushers,10,10.9.8,,Lying Leg Raises,0,10.8.7,,Sit-Ups,0,30.25.20
10.21.21,,Incline Bench Press,85,9.8.7,,Overhead Press,50,8.7.7,,French Press,12.5,11.10.9,,Dead Bugs,0,9.8.7,,Lying Leg Raises,0,9.8.7
10.28.21,,Incline Bench Press,85,10.8.7,,Overhead Press,50,7.8.6,,French Press,15,9.8.6,,Dead Bugs,0,10.8.7,,Boat,0,50
11.5.21,,Incline Bench Press,90,8.7.6,,Overhead Press,50,9.9.7,,French Press,15,10.9.8,,Dead Bugs,0,11.9.9,,Boat,0,120.110.100
11.14.21,,Incline Bench Press,90,9.8.6,,Overhead Press,55,6.4.4,,French Press,17.5,9.7.6,,Dead Bugs,0,12.10.10,,Boat,0,120
