Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Pounds,Reps,,Exercise,Pounds,Reps
,,Flat Barbell Chest Press,70,8.8.5,,Incline Barbell Chest Press,0,0.0.0,,Flat Dumbbell Chest Press,0,0.0.0,,Incline Dumbbell Chest Press,15,16.16.16,,Dumbbell Flyes,7.5,16.16.16,,Overhead Barbell French Press,10,12.8.8,,Dumbbell Skull Crushers,5,16.15.15
,,Flat Barbell Chest Press,0,0.0.0,,Incline Barbell Chest Press,55,8.8.10,,Flat Dumbbell Chest Press,20,10.12.20,,Incline Dumbbell Chest Press,0,0.0.0,,Dumbbell Flyes,10,16.8.8,,Overhead Barbell French Press,10,8.8.8,,Dumbbell Skull Crushers,5,16.16.16
